family,kernel,best_size,best_threads,baseline_runtime_sec,optimized_runtime_sec,best_normalized_runtime,speedup_vs_baseline
polybench_style,2mm,standard,1,0.017012,0.00588,0.3456383729132377,2.8931972789115648
polybench_style,3mm,small,2,0.001372,0.000504,0.3673469387755102,2.722222222222222
polybench_style,atax,standard,4,0.000212,0.000163,0.7688679245283019,1.3006134969325154
polybench_style,bicg,standard,4,0.00021,0.000166,0.7904761904761904,1.2650602409638554
polybench_style,conv2d,standard,4,0.005721,0.002288,0.3999300821534696,2.5004370629370634
polybench_style,conv3d,standard,16,0.013987,0.005614,0.4013727032244227,2.491449946562166
polybench_style,durbin,large,16,0.012983,0.009492,0.7311099129631057,1.3677833965444584
polybench_style,gemm,standard,1,0.026413,0.00789,0.298716541097187,3.3476552598225604
polybench_style,gemver,standard,4,0.000211,0.000165,0.7819905213270142,1.2787878787878788
polybench_style,gesummv,large,16,0.000459,0.000396,0.8627450980392156,1.1590909090909092
polybench_style,mvt,standard,4,0.000212,0.000165,0.7783018867924528,1.284848484848485
polybench_style,syr2k,large,4,0.03187,0.025383,0.7964543457797301,1.2555647480597252
polybench_style,syrk,large,2,0.040879,0.022465,0.5495486680202549,1.8196750500778989
rodinia_style,hotspot,large,8,0.006817,0.002634,0.3863869737421153,2.588078967350038
rodinia_style,particlefilter,small,2,0.262303,0.255903,0.9756007365527652,1.0250094762468593
rodinia_style,srad,large,16,0.003814,0.001282,0.3361300471945463,2.9750390015600634
