family,kernel,size,threads,median_runtime_sec_baseline,median_runtime_sec_optimized,normalized_runtime
rodinia_style,hotspot,small,1,0.002535,0.001185,0.4674556213017752
rodinia_style,hotspot,small,2,0.002762,0.001089,0.39427950760318603
rodinia_style,hotspot,small,4,0.001457,0.000631,0.43308167467398767
rodinia_style,hotspot,small,8,0.000838,0.000433,0.5167064439140812
rodinia_style,hotspot,small,16,0.000605,0.000422,0.6975206611570248
rodinia_style,hotspot,standard,1,0.014232,0.008586,0.6032883642495784
rodinia_style,hotspot,standard,2,0.010883,0.004874,0.4478544518974547
rodinia_style,hotspot,standard,4,0.005436,0.00223,0.4102281089036056
rodinia_style,hotspot,standard,8,0.003123,0.001254,0.4015369836695485
rodinia_style,hotspot,standard,16,0.001916,0.000849,0.4431106471816284
rodinia_style,hotspot,large,1,0.022516,0.01346,0.5977971220465447
rodinia_style,hotspot,large,2,0.01727,0.009008,0.5215981470758541
rodinia_style,hotspot,large,4,0.011319,0.005249,0.4637335453661985
rodinia_style,hotspot,large,8,0.006817,0.002634,0.3863869737421153
rodinia_style,hotspot,large,16,0.003558,0.00148,0.41596402473299604
rodinia_style,particlefilter,small,1,0.50667,0.500704,0.9882250774665958
rodinia_style,particlefilter,small,2,0.262303,0.255903,0.9756007365527652
rodinia_style,particlefilter,small,4,0.148382,0.146285,0.985867558059603
rodinia_style,particlefilter,small,8,0.084777,0.085554,1.0091652216992817
rodinia_style,particlefilter,small,16,0.052459,0.052249,0.995996873749023
rodinia_style,particlefilter,standard,1,0.999763,1.030384,1.0306282588973588
rodinia_style,particlefilter,standard,2,0.507047,0.502893,0.9918074655801139
rodinia_style,particlefilter,standard,4,0.275075,0.274148,0.9966300099972735
rodinia_style,particlefilter,standard,8,0.151765,0.16772,1.1051296412216256
rodinia_style,particlefilter,standard,16,0.112495,0.112932,1.0038846170940932
rodinia_style,particlefilter,large,1,1.499476,1.486323,0.9912282690753303
rodinia_style,particlefilter,large,2,0.753161,0.747283,0.992195559780711
rodinia_style,particlefilter,large,4,0.404624,0.400033,0.9886536636482266
rodinia_style,particlefilter,large,8,0.233881,0.233251,0.9973063224460301
rodinia_style,particlefilter,large,16,0.160894,0.159889,0.9937536514723979
rodinia_style,srad,small,1,0.002266,0.000883,0.3896734333627538
rodinia_style,srad,small,2,0.002118,0.000989,0.4669499527856468
rodinia_style,srad,small,4,0.001496,0.000616,0.411764705882353
rodinia_style,srad,small,8,0.000796,0.000398,0.5
rodinia_style,srad,small,16,0.000839,0.000422,0.5029797377830751
rodinia_style,srad,standard,1,0.016108,0.00894,0.5550037248572138
rodinia_style,srad,standard,2,0.00951,0.004176,0.43911671924290224
rodinia_style,srad,standard,4,0.005742,0.0022,0.38314176245210735
rodinia_style,srad,standard,8,0.003092,0.00126,0.407503234152652
rodinia_style,srad,standard,16,0.0028,0.001081,0.38607142857142857
rodinia_style,srad,large,1,0.020955,0.013026,0.6216177523264137
rodinia_style,srad,large,2,0.01714,0.008885,0.5183780630105018
rodinia_style,srad,large,4,0.01135,0.005264,0.46378854625550653
rodinia_style,srad,large,8,0.006744,0.002471,0.3663997627520759
rodinia_style,srad,large,16,0.003814,0.001282,0.33613004719454637
