family,kernel,size,threads,median_runtime_sec_baseline,median_runtime_sec_optimized,normalized_runtime
polybench_style,2mm,small,1,0.002774,0.00097,0.3496755587599135
polybench_style,2mm,small,2,0.001414,0.000503,0.35572842998585574
polybench_style,2mm,small,4,0.000739,0.000289,0.3910690121786197
polybench_style,2mm,small,8,0.000429,0.000233,0.543123543123543
polybench_style,2mm,small,16,0.000303,0.000244,0.8052805280528053
polybench_style,2mm,standard,1,0.017012,0.00588,0.34563837291323773
polybench_style,2mm,standard,2,0.011551,0.004354,0.37693706172625746
polybench_style,2mm,standard,4,0.00614,0.00255,0.41530944625407173
polybench_style,2mm,standard,8,0.003581,0.00186,0.5194079865959229
polybench_style,2mm,standard,16,0.002821,0.002319,0.8220489188231123
polybench_style,2mm,large,1,0.034269,0.01923,0.5611485599229624
polybench_style,2mm,large,2,0.026852,0.013893,0.5173916281841203
polybench_style,2mm,large,4,0.016286,0.007988,0.4904826231118753
polybench_style,2mm,large,8,0.010718,0.005204,0.4855383467064751
polybench_style,2mm,large,16,0.006508,0.004239,0.6513521819299324
polybench_style,3mm,small,1,0.001751,0.000955,0.5454026270702456
polybench_style,3mm,small,2,0.001372,0.000504,0.3673469387755102
polybench_style,3mm,small,4,0.000738,0.000294,0.39837398373983735
polybench_style,3mm,small,8,0.000441,0.000243,0.5510204081632654
polybench_style,3mm,small,16,0.000321,0.000208,0.6479750778816199
polybench_style,3mm,standard,1,0.018081,0.007816,0.4322769758309828
polybench_style,3mm,standard,2,0.011234,0.004333,0.38570411251557774
polybench_style,3mm,standard,4,0.006129,0.002532,0.41311796377875676
polybench_style,3mm,standard,8,0.003583,0.001879,0.5244208763605918
polybench_style,3mm,standard,16,0.002792,0.002299,0.8234240687679082
polybench_style,3mm,large,1,0.036113,0.019883,0.5505773544153075
polybench_style,3mm,large,2,0.027007,0.015057,0.5575221238938053
polybench_style,3mm,large,4,0.01601,0.008241,0.51474078700812
polybench_style,3mm,large,8,0.010652,0.005148,0.4832895230942546
polybench_style,3mm,large,16,0.006492,0.004349,0.6699014171287738
polybench_style,gemm,small,1,0.005438,0.001907,0.3506803972048547
polybench_style,gemm,small,2,0.002844,0.001104,0.3881856540084388
polybench_style,gemm,small,4,0.001526,0.000655,0.4292267365661861
polybench_style,gemm,small,8,0.000949,0.000517,0.5447839831401475
polybench_style,gemm,small,16,0.000842,0.000689,0.818289786223278
polybench_style,gemm,standard,1,0.026413,0.00789,0.298716541097187
polybench_style,gemm,standard,2,0.017925,0.005505,0.3071129707112971
polybench_style,gemm,standard,4,0.010719,0.004127,0.3850172590726747
