family,kernel,size,threads,variant,median_runtime_sec,median_wall_time_sec,all_runtimes_sec,last_output
polybench_style,2mm,small,1,baseline,0.002774,0.005578041076660156,0.002774;0.002782;0.002758,"kernel=2mm,size=small,n=256,threads=1,runtime_sec=0.002758"
polybench_style,2mm,small,1,optimized,0.00097,0.003751516342163086,0.000978;0.000952;0.00097,"kernel=2mm,size=small,n=256,threads=1,runtime_sec=0.000970"
polybench_style,2mm,small,2,baseline,0.001414,0.004342794418334961,0.001416;0.001414;0.001409,"kernel=2mm,size=small,n=256,threads=2,runtime_sec=0.001409"
polybench_style,2mm,small,2,optimized,0.000503,0.0034813880920410156,0.000505;0.000503;0.000503,"kernel=2mm,size=small,n=256,threads=2,runtime_sec=0.000503"
polybench_style,2mm,small,4,baseline,0.000739,0.003934144973754883,0.000739;0.00074;0.000739,"kernel=2mm,size=small,n=256,threads=4,runtime_sec=0.000739"
polybench_style,2mm,small,4,optimized,0.000289,0.003423929214477539,0.000289;0.00028;0.000293,"kernel=2mm,size=small,n=256,threads=4,runtime_sec=0.000293"
polybench_style,2mm,small,8,baseline,0.000429,0.003930807113647461,0.000429;0.000425;0.00043,"kernel=2mm,size=small,n=256,threads=8,runtime_sec=0.000430"
polybench_style,2mm,small,8,optimized,0.000233,0.003700733184814453,0.000191;0.000233;0.000239,"kernel=2mm,size=small,n=256,threads=8,runtime_sec=0.000239"
polybench_style,2mm,small,16,baseline,0.000303,0.004467487335205078,0.000285;0.000303;0.000336,"kernel=2mm,size=small,n=256,threads=16,runtime_sec=0.000336"
polybench_style,2mm,small,16,optimized,0.000244,0.004431247711181641,0.000248;0.000244;0.000218,"kernel=2mm,size=small,n=256,threads=16,runtime_sec=0.000218"
polybench_style,2mm,standard,1,baseline,0.017012,0.021007061004638672,0.017609;0.017012;0.016941,"kernel=2mm,size=standard,n=512,threads=1,runtime_sec=0.016941"
polybench_style,2mm,standard,1,optimized,0.00588,0.008690357208251953,0.006531;0.004362;0.00588,"kernel=2mm,size=standard,n=512,threads=1,runtime_sec=0.005880"
polybench_style,2mm,standard,2,baseline,0.011551,0.014953851699829102,0.011551;0.010498;0.01157,"kernel=2mm,size=standard,n=512,threads=2,runtime_sec=0.011570"
polybench_style,2mm,standard,2,optimized,0.004354,0.007872581481933594,0.004354;0.003977;0.004386,"kernel=2mm,size=standard,n=512,threads=2,runtime_sec=0.004386"
polybench_style,2mm,standard,4,baseline,0.00614,0.00961923599243164,0.00618;0.006136;0.00614,"kernel=2mm,size=standard,n=512,threads=4,runtime_sec=0.006140"
polybench_style,2mm,standard,4,optimized,0.00255,0.0060024261474609375,0.00255;0.00251;0.002559,"kernel=2mm,size=standard,n=512,threads=4,runtime_sec=0.002559"
polybench_style,2mm,standard,8,baseline,0.003581,0.0073316097259521484,0.003581;0.003505;0.003594,"kernel=2mm,size=standard,n=512,threads=8,runtime_sec=0.003594"
polybench_style,2mm,standard,8,optimized,0.00186,0.0056726932525634766,0.00186;0.001796;0.001891,"kernel=2mm,size=standard,n=512,threads=8,runtime_sec=0.001891"
polybench_style,2mm,standard,16,baseline,0.002821,0.00732731819152832,0.002855;0.002734;0.002821,"kernel=2mm,size=standard,n=512,threads=16,runtime_sec=0.002821"
polybench_style,2mm,standard,16,optimized,0.002319,0.0068073272705078125,0.00216;0.002319;0.002326,"kernel=2mm,size=standard,n=512,threads=16,runtime_sec=0.002326"
polybench_style,2mm,large,1,baseline,0.034269,0.039823055267333984,0.034269;0.034282;0.02043,"kernel=2mm,size=large,n=768,threads=1,runtime_sec=0.020430"
polybench_style,2mm,large,1,optimized,0.01923,0.023730039596557617,0.021124;0.017973;0.01923,"kernel=2mm,size=large,n=768,threads=1,runtime_sec=0.019230"
polybench_style,2mm,large,2,baseline,0.026852,0.030994653701782227,0.028015;0.026852;0.026186,"kernel=2mm,size=large,n=768,threads=2,runtime_sec=0.026186"
polybench_style,2mm,large,2,optimized,0.013893,0.01826167106628418,0.013976;0.01276;0.013893,"kernel=2mm,size=large,n=768,threads=2,runtime_sec=0.013893"
polybench_style,2mm,large,4,baseline,0.016286,0.019864559173583984,0.01624;0.016286;0.016489,"kernel=2mm,size=large,n=768,threads=4,runtime_sec=0.016489"
polybench_style,2mm,large,4,optimized,0.007988,0.011695623397827148,0.007988;0.006974;0.008265,"kernel=2mm,size=large,n=768,threads=4,runtime_sec=0.008265"
polybench_style,2mm,large,8,baseline,0.010718,0.014873266220092773,0.010808;0.010618;0.010718,"kernel=2mm,size=large,n=768,threads=8,runtime_sec=0.010718"
polybench_style,2mm,large,8,optimized,0.005204,0.00918722152709961,0.005239;0.005172;0.005204,"kernel=2mm,size=large,n=768,threads=8,runtime_sec=0.005204"
polybench_style,2mm,large,16,baseline,0.006508,0.011371612548828125,0.00665;0.006423;0.006508,"kernel=2mm,size=large,n=768,threads=16,runtime_sec=0.006508"
polybench_style,2mm,large,16,optimized,0.004239,0.008772134780883789,0.004339;0.003778;0.004239,"kernel=2mm,size=large,n=768,threads=16,runtime_sec=0.004239"
polybench_style,3mm,small,1,baseline,0.001751,0.004160404205322266,0.002317;0.001751;0.001412,"kernel=3mm,size=small,n=256,threads=1,runtime_sec=0.001412"
polybench_style,3mm,small,1,optimized,0.000955,0.003843069076538086,0.000963;0.000645;0.000955,"kernel=3mm,size=small,n=256,threads=1,runtime_sec=0.000955"
polybench_style,3mm,small,2,baseline,0.001372,0.0040242671966552734,0.001148;0.00141;0.001372,"kernel=3mm,size=small,n=256,threads=2,runtime_sec=0.001372"
polybench_style,3mm,small,2,optimized,0.000504,0.003517627716064453,0.000505;0.000502;0.000504,"kernel=3mm,size=small,n=256,threads=2,runtime_sec=0.000504"
polybench_style,3mm,small,4,baseline,0.000738,0.003856182098388672,0.00073;0.00074;0.000738,"kernel=3mm,size=small,n=256,threads=4,runtime_sec=0.000738"
polybench_style,3mm,small,4,optimized,0.000294,0.00341033935546875,0.000294;0.00027;0.000299,"kernel=3mm,size=small,n=256,threads=4,runtime_sec=0.000299"
polybench_style,3mm,small,8,baseline,0.000441,0.0038154125213623047,0.00042;0.000459;0.000441,"kernel=3mm,size=small,n=256,threads=8,runtime_sec=0.000441"
polybench_style,3mm,small,8,optimized,0.000243,0.0036897659301757812,0.000285;0.000203;0.000243,"kernel=3mm,size=small,n=256,threads=8,runtime_sec=0.000243"
polybench_style,3mm,small,16,baseline,0.000321,0.004415273666381836,0.000322;0.000261;0.000321,"kernel=3mm,size=small,n=256,threads=16,runtime_sec=0.000321"
polybench_style,3mm,small,16,optimized,0.000208,0.0043964385986328125,0.000214;0.000175;0.000208,"kernel=3mm,size=small,n=256,threads=16,runtime_sec=0.000208"
polybench_style,3mm,standard,1,baseline,0.018081,0.022075414657592773,0.017684;0.018081;0.018999,"kernel=3mm,size=standard,n=512,threads=1,runtime_sec=0.018999"
polybench_style,3mm,standard,1,optimized,0.007816,0.011243104934692383,0.007816;0.006529;0.00782,"kernel=3mm,size=standard,n=512,threads=1,runtime_sec=0.007820"
polybench_style,3mm,standard,2,baseline,0.011234,0.01443624496459961,0.011128;0.011591;0.011234,"kernel=3mm,size=standard,n=512,threads=2,runtime_sec=0.011234"
polybench_style,3mm,standard,2,optimized,0.004333,0.007824182510375977,0.004306;0.00438;0.004333,"kernel=3mm,size=standard,n=512,threads=2,runtime_sec=0.004333"
polybench_style,3mm,standard,4,baseline,0.006129,0.009554386138916016,0.006129;0.006096;0.006155,"kernel=3mm,size=standard,n=512,threads=4,runtime_sec=0.006155"
polybench_style,3mm,standard,4,optimized,0.002532,0.006011486053466797,0.00252;0.002556;0.002532,"kernel=3mm,size=standard,n=512,threads=4,runtime_sec=0.002532"
polybench_style,3mm,standard,8,baseline,0.003583,0.00729680061340332,0.003538;0.003603;0.003583,"kernel=3mm,size=standard,n=512,threads=8,runtime_sec=0.003583"
polybench_style,3mm,standard,8,optimized,0.001879,0.005643367767333984,0.001879;0.00188;0.001836,"kernel=3mm,size=standard,n=512,threads=8,runtime_sec=0.001836"
polybench_style,3mm,standard,16,baseline,0.002792,0.007260560989379883,0.002804;0.002792;0.002777,"kernel=3mm,size=standard,n=512,threads=16,runtime_sec=0.002777"
polybench_style,3mm,standard,16,optimized,0.002299,0.00673222541809082,0.002243;0.002346;0.002299,"kernel=3mm,size=standard,n=512,threads=16,runtime_sec=0.002299"
polybench_style,3mm,large,1,baseline,0.036113,0.041742563247680664,0.038327;0.036113;0.020399,"kernel=3mm,size=large,n=768,threads=1,runtime_sec=0.020399"
polybench_style,3mm,large,1,optimized,0.019883,0.024016141891479492,0.020344;0.017783;0.019883,"kernel=3mm,size=large,n=768,threads=1,runtime_sec=0.019883"
polybench_style,3mm,large,2,baseline,0.027007,0.031046628952026367,0.028101;0.026606;0.027007,"kernel=3mm,size=large,n=768,threads=2,runtime_sec=0.027007"
polybench_style,3mm,large,2,optimized,0.015057,0.018699169158935547,0.014549;0.015088;0.015057,"kernel=3mm,size=large,n=768,threads=2,runtime_sec=0.015057"
polybench_style,3mm,large,4,baseline,0.01601,0.018653392791748047,0.015667;0.017117;0.01601,"kernel=3mm,size=large,n=768,threads=4,runtime_sec=0.016010"
polybench_style,3mm,large,4,optimized,0.008241,0.010970592498779297,0.00815;0.008241;0.008266,"kernel=3mm,size=large,n=768,threads=4,runtime_sec=0.008266"
polybench_style,3mm,large,8,baseline,0.010652,0.013457536697387695,0.010744;0.010652;0.010301,"kernel=3mm,size=large,n=768,threads=8,runtime_sec=0.010301"
polybench_style,3mm,large,8,optimized,0.005148,0.009294986724853516,0.005148;0.005115;0.005159,"kernel=3mm,size=large,n=768,threads=8,runtime_sec=0.005159"
polybench_style,3mm,large,16,baseline,0.006492,0.010789155960083008,0.006494;0.006492;0.006129,"kernel=3mm,size=large,n=768,threads=16,runtime_sec=0.006129"
polybench_style,3mm,large,16,optimized,0.004349,0.008559226989746094,0.004756;0.004349;0.004053,"kernel=3mm,size=large,n=768,threads=16,runtime_sec=0.004053"
polybench_style,gemm,small,1,baseline,0.005438,0.008462190628051758,0.002969;0.005438;0.005445,"kernel=gemm,size=small,n=256,threads=1,runtime_sec=0.005445"
polybench_style,gemm,small,1,optimized,0.001907,0.0048906803131103516,0.001929;0.001593;0.001907,"kernel=gemm,size=small,n=256,threads=1,runtime_sec=0.001907"
polybench_style,gemm,small,2,baseline,0.002844,0.0058934688568115234,0.002844;0.002867;0.002843,"kernel=gemm,size=small,n=256,threads=2,runtime_sec=0.002843"
polybench_style,gemm,small,2,optimized,0.001104,0.004141330718994141,0.001079;0.00111;0.001104,"kernel=gemm,size=small,n=256,threads=2,runtime_sec=0.001104"
polybench_style,gemm,small,4,baseline,0.001526,0.004590749740600586,0.001583;0.001526;0.001524,"kernel=gemm,size=small,n=256,threads=4,runtime_sec=0.001524"
polybench_style,gemm,small,4,optimized,0.000655,0.0037245750427246094,0.000651;0.000667;0.000655,"kernel=gemm,size=small,n=256,threads=4,runtime_sec=0.000655"
polybench_style,gemm,small,8,baseline,0.000949,0.004328012466430664,0.000939;0.000958;0.000949,"kernel=gemm,size=small,n=256,threads=8,runtime_sec=0.000949"
polybench_style,gemm,small,8,optimized,0.000517,0.0039942264556884766,0.000517;0.000528;0.000511,"kernel=gemm,size=small,n=256,threads=8,runtime_sec=0.000511"
polybench_style,gemm,small,16,baseline,0.000842,0.00492095947265625,0.000842;0.000856;0.000818,"kernel=gemm,size=small,n=256,threads=16,runtime_sec=0.000818"
