kernel,size,variant,threads,median_runtime_sec,best_runtime_so_far_sec,elapsed_tuning_time_sec,all_runtimes_sec,last_output
3mm,standard,gcc_O2,1,0.016978,0.016978,0.05385398864746094,0.010197;0.016978;0.018223,"kernel=3mm,size=standard,n=512,threads=1,runtime_sec=0.018223"
3mm,standard,gcc_O2,2,0.011405,0.011405,0.09770011901855469,0.011405;0.011513;0.011025,"kernel=3mm,size=standard,n=512,threads=2,runtime_sec=0.011025"
3mm,standard,gcc_O2,4,0.006116,0.006116,0.12613987922668457,0.006094;0.006143;0.006116,"kernel=3mm,size=standard,n=512,threads=4,runtime_sec=0.006116"
3mm,standard,gcc_O2,8,0.003461,0.003461,0.14720439910888672,0.003461;0.003463;0.003451,"kernel=3mm,size=standard,n=512,threads=8,runtime_sec=0.003451"
3mm,standard,gcc_O2,16,0.003798,0.003461,0.17130303382873535,0.003845;0.003798;0.003785,"kernel=3mm,size=standard,n=512,threads=16,runtime_sec=0.003785"
3mm,standard,gcc_O3,1,0.01215,0.003461,0.21695637702941895,0.009367;0.012182;0.01215,"kernel=3mm,size=standard,n=512,threads=1,runtime_sec=0.012150"
3mm,standard,gcc_O3,2,0.006765,0.003461,0.24797916412353516,0.006736;0.006899;0.006765,"kernel=3mm,size=standard,n=512,threads=2,runtime_sec=0.006765"
3mm,standard,gcc_O3,4,0.003741,0.003461,0.26927876472473145,0.003755;0.003726;0.003741,"kernel=3mm,size=standard,n=512,threads=4,runtime_sec=0.003741"
3mm,standard,gcc_O3,8,0.002266,0.002266,0.28721117973327637,0.002255;0.002266;0.00227,"kernel=3mm,size=standard,n=512,threads=8,runtime_sec=0.002270"
3mm,standard,gcc_O3,16,0.002616,0.002266,0.3079252243041992,0.002616;0.002704;0.002597,"kernel=3mm,size=standard,n=512,threads=16,runtime_sec=0.002597"
3mm,standard,gcc_O3_native,1,0.008167,0.002266,0.34484052658081055,0.008167;0.007995;0.008392,"kernel=3mm,size=standard,n=512,threads=1,runtime_sec=0.008392"
3mm,standard,gcc_O3_native,2,0.004593,0.002266,0.36968255043029785,0.004584;0.004662;0.004593,"kernel=3mm,size=standard,n=512,threads=2,runtime_sec=0.004593"
3mm,standard,gcc_O3_native,4,0.00266,0.002266,0.3880622386932373,0.002713;0.002659;0.00266,"kernel=3mm,size=standard,n=512,threads=4,runtime_sec=0.002660"
3mm,standard,gcc_O3_native,8,0.001739,0.001739,0.4043753147125244,0.001671;0.001739;0.001767,"kernel=3mm,size=standard,n=512,threads=8,runtime_sec=0.001767"
3mm,standard,gcc_O3_native,16,0.002205,0.001739,0.42418456077575684,0.002205;0.002193;0.002251,"kernel=3mm,size=standard,n=512,threads=16,runtime_sec=0.002251"
3mm,standard,gcc_O3_native_unroll,1,0.007866,0.001739,0.45879483222961426,0.006773;0.007866;0.007883,"kernel=3mm,size=standard,n=512,threads=1,runtime_sec=0.007883"
3mm,standard,gcc_O3_native_unroll,2,0.004408,0.001739,0.4825868606567383,0.004408;0.004416;0.004391,"kernel=3mm,size=standard,n=512,threads=2,runtime_sec=0.004391"
3mm,standard,gcc_O3_native_unroll,4,0.002551,0.001739,0.5008120536804199,0.002551;0.002521;0.00259,"kernel=3mm,size=standard,n=512,threads=4,runtime_sec=0.002590"
